orthogroup	gene	annot
OG0000000	YuYa2v21000152m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21000570m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21001667m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21001756m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21002099m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21002177m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21002759m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21003018m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21004341m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21005333m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21005886m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21006116m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21006170m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21006183m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21006281m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21007538m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21007793m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21007794m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21008380m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21008447m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21009463m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21009683m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21011498m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21012150m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21013388m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21013495m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21013738m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21013739m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21015964m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21016220m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21016667m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21017417m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21017516m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21018211m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21018351m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21019328m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21019720m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21019885m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21019886m	Pentatricopeptide repeat (PPR-like) superfamily protein
